samples	trimmed_2593	trimmed_2595	trimmed_2599	trimmed_2609	trimmed_2613	trimmed_2649	trimmed_2653	trimmed_2655	trimmed_2659	trimmed_2750	trimmed_2754
coass_bin.24_renamed	0	179.1426045	0	0	0	0	0	0	0	0	0
2653_bin.25_renamed	0	0	0	0	0	0	283.7712518	0	0	0	0
2653_bin.20_renamed	0	0	0	0	0	0	315.4271645	0	0	0	0
2659_bin.4_renamed	0	0	0	0	0	0	0	184.2180017	135.6394632	0	0
coass_bin.88_renamed	0	0	0	362.3925217	0	0	0	0	0	0	0
2649_bin.9_renamed	0	0	0	0	0	433.6113885	0	0	0	0	0
2593_bin.3_renamed	504.9091432	0	0	0	0	0	0	0	0	0	0
2649_bin.11_renamed	0	0	0	0	0	547.7685309	0	0	0	0	0
2754_bin.24_renamed	0	0	0	0	0	0	0	0	0	0	580.8367559
2659_bin.22_renamed	0	0	0	0	0	0	0	0	621.4255873	0	0
2653_bin.12_renamed	0	0	0	0	0	0	639.6172789	0	0	0	0
2593_bin.16_renamed	712.130389	0	0	0	0	0	0	0	0	0	0
2595_bin.1_renamed	0	788.2536231	0	0	0	0	0	0	0	0	0
2593_bin.12_renamed	878.4543669	0	0	0	0	0	0	0	0	0	0
2599_bin.2_renamed	0	0	890.1740637	0	0	0	0	0	0	0	0
2613_bin.10_renamed	0	0	0	308.1309598	630.0357727	0	0	0	0	0	0
2595_bin.11_renamed	0	962.7207093	0	0	0	0	0	0	0	0	0
2750_bin.3_renamed	0	0	166.441684	354.1697132	0	0	0	0	0	463.4211966	0
2649_bin.22_renamed	0	0	0	0	0	1053.843659	0	0	0	0	0
2599_bin.24_renamed	0	0	440.8256307	0	0	0	0	300.2724738	328.5060293	0	0
2593_bin.8_renamed	711.9788007	366.3619851	0	0	0	0	0	0	0	0	0
2653_bin.17_renamed	0	0	0	0	0	0	657.8994467	471.8180785	0	0	0
2595_bin.12_renamed	0	1153.44794	0	0	0	0	0	0	0	0	0
2750_bin.10_renamed	0	0	0	0	0	0	0	0	0	1170.795402	0
2754_bin.23_renamed	0	0	0	0	0	0	0	0	0	469.1955962	710.5162893
2754_bin.15_renamed	0	0	0	0	0	0	0	0	0	0	1211.504467
2653_bin.4_renamed	0	0	0	0	0	0	1357.85715	0	0	0	0
2655_bin.2_renamed	0	0	0	0	0	0	0	1489.231296	0	0	0
2750_bin.14_renamed	0	0	0	0	0	0	0	0	0	1668.651154	0
2599_bin.29_renamed	0	0	817.1699972	0	0	0	0	493.7308777	501.7087026	0	0
2653_bin.18_renamed	0	0	0	0	0	0	829.0111695	782.3594703	422.840968	0	0
2613_bin.6_renamed	0	0	0	0	2068.920185	0	0	0	0	0	0
2595_bin.17_renamed	0	465.8802708	566.2061115	466.5125728	0	0	0	0	0	619.8766754	0
2649_bin.15_renamed	0	0	0	0	0	1772.989237	0	476.9985501	0	0	0
2649_bin.18_renamed	0	0	0	0	0	2294.50001	0	0	0	0	0
2599_bin.27_renamed	0	317.3877479	482.3985549	0	443.4738413	0	0	603.273221	508.1098172	0	0
2599_bin.15_renamed	0	423.9168885	818.2596101	557.6253299	0	0	0	0	0	846.144304	0
2653_bin.24_renamed	0	643.6759384	0	0	0	0	1506.314988	0	0	0	766.9304295
2595_bin.9_renamed	350.4595844	400.0838579	404.3610942	0	439.8074451	493.1128209	310.92859	398.8584174	406.074912	0	0
2649_bin.10_renamed	0	0	0	0	0	3274.204117	0	0	0	0	0
2653_bin.21_renamed	772.7530882	627.5320762	0	0	0	0	717.815385	0	669.5038053	812.0172605	0
2649_bin.1_renamed	0	0	0	0	0	3763.965314	0	0	0	0	0
2613_bin.3_renamed	0	0	0	948.0348561	1995.656302	0	482.0647085	0	0	566.2123436	0
2595_bin.21_renamed	0	876.4682983	0	1483.414853	1245.91029	0	486.6413494	0	0	0	0
2593_bin.2_renamed	950.06722	397.8018174	677.0069538	363.7274661	554.5944665	500.643881	0	514.4744169	456.8646774	0	0
2659_bin.1_renamed	0	0	2285.505035	0	0	0	0	0	2207.442741	0	0
2754_bin.10_renamed	0	482.6588406	0	971.0430148	0	0	0	0	0	1166.688403	2096.379495
2653_bin.7_renamed	637.9784314	787.9290017	0	472.9236711	828.4614578	0	859.6131862	791.9409067	391.5339807	0	0
2659_bin.11_renamed	303.0566507	259.1012349	289.4885405	448.8273645	1000.557935	0	587.2542618	910.6911728	885.3771262	365.3999086	0
2599_bin.19_renamed	0	438.7864902	2026.071284	856.0919656	0	847.0322672	0	860.028651	865.8374263	0	0
2754_bin.6_renamed	0	0	0	0	0	1122.652917	0	1206.026771	0	0	3874.583523
2649_bin.7_renamed	0	0	0	0	0	6294.108764	0	0	0	0	0
2750_bin.5_renamed	0	0	0	1079.756845	2154.352021	0	918.5679324	0	0	1130.388272	1060.261282
2655_bin.7_renamed	0	0	0	0	0	3191.836933	0	3261.802448	0	0	0
2653_bin.13_renamed	700.1928081	946.6979746	542.5743039	521.2789456	1270.886614	0	1414.962699	1003.825983	770.7728537	654.7964175	611.0173643
2595_bin.2_renamed	1317.214153	1516.927092	265.1464993	824.5637208	2089.957935	0	985.3341946	941.1677191	461.5012164	1140.187667	0
2593_bin.7_renamed	3911.061	0	0	0	0	4974.830567	0	1176.99556	966.7649438	0	2623.934261
2599_bin.23_renamed	2320.867847	1887.983976	1602.008929	1672.53384	1275.065345	1681.566609	732.4479501	0	1797.673087	1428.969151	0
2653_bin.23_renamed	1445.268394	1737.563105	841.7149622	1097.251347	2311.70286	923.9984906	2530.145661	1323.174718	1159.35725	1188.528617	1302.740751